region	Oct4	Sox2
chr10:128249815-128249915	0	1
chr10:129177126-129177226	1	0
chr10:129278492-129278592	1	0
chr10:129284626-129284726	0	1
chr11:1283258-1283358	0	0
chr11:1481673-1481773	0	0
chr11:2598162-2598262	0	0
chr11:2829463-2829563	0	0
chr11:3061783-3061883	0	0
chr11:5037849-5037949	1	0
chr11:6980056-6980156	1	0
chr11:8131499-8131599	0	0
chr11:11538285-11538385	0	1
chr11:11994465-11994565	0	0
chr11:12490167-12490267	0	1
chr11:12872453-12872553	0	1
chr11:13359700-13359800	0	1
chr11:13717839-13717939	0	0
chr11:14051456-14051556	1	0
chr11:14349747-14349847	0	1
chr11:14363308-14363408	0	0
chr11:15540409-15540509	0	0
chr11:17453783-17453883	1	0
chr11:18741020-18741120	1	0
chr11:19173841-19173941	1	0
chr11:20178367-20178467	1	0
chr11:20266793-20266893	0	0
chr11:21411979-21412079	0	0
chr11:21702296-21702396	0	0
chr11:22243327-22243427	0	0
chr11:22325755-22325855	1	0
chr11:25037864-25037964	0	1
chr11:25056847-25056947	1	0
chr11:25156641-25156741	1	0
chr11:25727712-25727812	1	0
chr11:25978737-25978837	0	1
chr11:26527471-26527571	0	1
chr11:26738600-26738700	0	1
chr11:26903536-26903636	1	0
chr11:27158729-27158829	0	1
chr11:27188190-27188290	0	1
chr11:28226726-28226826	0	1
chr11:28421960-28422060	0	1
chr11:28440059-28440159	0	1
chr11:28986242-28986342	0	1
chr11:29368186-29368286	1	0
chr11:30670444-30670544	0	1
chr11:30745209-30745309	0	1
chr11:32623319-32623419	0	0
chr11:33079995-33080095	0	1
chr11:33483235-33483335	1	0
chr11:34576921-34577021	0	1
chr11:36438888-36438988	0	0
chr11:36852240-36852340	0	1
chr11:36957583-36957683	0	0
chr11:38168856-38168956	0	1
chr11:38791918-38792018	0	1
chr11:38815576-38815676	0	1
chr11:38993460-38993560	1	0
chr11:39129401-39129501	0	0
chr11:39601553-39601653	1	0
chr11:40278079-40278179	0	1
chr11:40354696-40354796	0	0
chr11:40561852-40561952	0	1
chr11:40635807-40635907	0	1
chr11:42296952-42297052	1	0
chr11:42599408-42599508	1	0
chr11:42911650-42911750	1	0
chr11:44522887-44522987	0	1
chr11:44754542-44754642	0	1
chr11:46180455-46180555	0	0
chr11:47213452-47213552	0	1
chr11:47292389-47292489	0	1
chr11:47461558-47461658	0	0
chr11:47780029-47780129	0	0
chr11:48444503-48444603	1	0
chr11:49674068-49674168	0	1
chr11:49724487-49724587	0	0
chr11:50280164-50280264	0	0
chr11:51024182-51024282	1	0
chr11:51568411-51568511	0	1
chr11:52162614-52162714	0	0
chr11:54394061-54394161	0	0
chr11:54425828-54425928	1	0
chr11:55823069-55823169	0	1
chr11:59538365-59538465	0	1
chr11:62552558-62552658	0	1
chr11:63090320-63090420	0	0
chr11:63351662-63351762	0	0
chr11:64607825-64607925	0	1
chr11:64990509-64990609	0	1
chr11:68938599-68938699	0	1
chr11:69741110-69741210	1	0
chr11:71886057-71886157	0	0
chr11:71949188-71949288	0	0
chr11:72016404-72016504	0	1
chr11:73232098-73232198	0	0
chr11:75206129-75206229	0	1
chr11:75355688-75355788	1	0
chr11:77707471-77707571	0	1
chr11:77754077-77754177	1	0
chr11:78003035-78003135	0	1
chr11:78492574-78492674	0	1
chr11:79239345-79239445	0	1
chr11:81738328-81738428	1	0
chr11:82275479-82275579	0	0
chr11:83928737-83928837	0	0
chr11:84117509-84117609	1	0
chr11:85492249-85492349	0	1
chr11:88773063-88773163	0	0
chr11:90948618-90948718	0	1
chr11:91383002-91383102	0	1
chr11:92547395-92547495	0	1
chr11:94190209-94190309	0	1
chr11:95938115-95938215	0	1
chr11:98672566-98672666	1	0
chr11:99367983-99368083	0	0
chr11:102253669-102253769	0	1
chr11:103812062-103812162	1	0
chr11:103914714-103914814	0	1
chr11:104203100-104203200	0	1
chr11:104987184-104987284	1	0
chr11:105739931-105740031	0	1
chr11:107390495-107390595	0	1
chr11:108023725-108023825	0	1
chr11:108131092-108131192	0	0
chr11:108326018-108326118	0	1
chr11:108413872-108413972	0	1
chr11:111663801-111663901	1	0
chr11:112530978-112531078	0	0
chr11:112771286-112771386	1	0
chr11:113987686-113987786	1	0
chr11:114792422-114792522	0	0
chr11:116312777-116312877	1	0
chr11:117547776-117547876	0	1
chr11:118526210-118526310	0	1
chr11:119442306-119442406	1	0
chr11:121753157-121753257	0	0
chr12:3301277-3301377	0	1
chr12:3623918-3624018	0	1
chr12:4323336-4323436	0	0
chr12:5708850-5708950	0	1
chr12:6243031-6243131	0	0
chr12:6625524-6625624	0	1
chr12:6779659-6779759	0	1
chr12:7163050-7163150	0	1
chr12:9016840-9016940	0	1
chr12:9868787-9868887	1	0
chr12:9969387-9969487	0	0
chr12:10412978-10413078	1	0
chr12:11211590-11211690	1	0
chr12:11296729-11296829	0	1
chr12:15361277-15361377	0	1
chr12:15843207-15843307	1	0
chr12:20005397-20005497	0	0
chr12:20342959-20343059	0	0
chr12:21074412-21074512	0	1
chr12:27132298-27132398	0	1
chr12:27798280-27798380	1	0
chr12:28022793-28022893	1	0
chr12:32338742-32338842	1	0
chr12:32624618-32624718	0	0
chr12:33137675-33137775	0	1
chr12:33504330-33504430	0	1
chr12:34065166-34065266	0	1
chr12:34356155-34356255	1	0
chr12:34606272-34606372	0	1
chr12:35215159-35215259	0	1
chr12:35266383-35266483	0	1
chr12:36855156-36855256	0	1
chr12:36937923-36938023	0	0
chr12:37900758-37900858	0	0
chr12:37938835-37938935	1	0
chr12:39135373-39135473	0	1
chr12:39411922-39412022	0	1
chr12:39545481-39545581	1	0
chr12:40489642-40489742	1	0
chr12:40731850-40731950	0	0
chr12:41972885-41972985	0	1
chr12:42731666-42731766	0	1
chr12:42755688-42755788	0	1
chr12:43154991-43155091	0	1
chr12:43687936-43688036	1	0
chr12:43802577-43802677	0	1
chr12:44162165-44162265	0	0
chr12:44594001-44594101	0	0
chr12:44711390-44711490	0	1
chr12:46613712-46613812	0	0
chr12:46699224-46699324	1	0
chr12:47121802-47121902	1	0
chr12:49016230-49016330	0	1
chr12:49088048-49088148	1	0
chr12:49385047-49385147	1	0
chr12:50155482-50155582	0	0
chr12:51553086-51553186	1	0
chr12:52514826-52514926	1	0
chr12:52791334-52791434	1	0
chr12:53281548-53281648	0	1
chr12:53570922-53571022	1	0
chr12:54412439-54412539	0	0
chr12:56077947-56078047	0	0
chr12:56867699-56867799	0	0
chr12:59720764-59720864	1	0
chr12:59820469-59820569	1	0
chr12:60884186-60884286	0	0
chr12:63267517-63267617	0	1
chr12:63734004-63734104	0	1
chr12:63793488-63793588	1	0
chr12:64227924-64228024	0	0
chr12:64690237-64690337	0	0
chr12:64696382-64696482	1	0
chr12:65130180-65130280	1	0
chr12:65201241-65201341	0	1
chr12:66139341-66139441	0	1
chr12:66600045-66600145	0	1
chr12:66819755-66819855	1	0
chr12:67332391-67332491	1	0
chr12:68972901-68973001	1	0
chr12:69006608-69006708	1	0
chr12:69143889-69143989	1	0
chr12:69392728-69392828	0	0
chr12:70391089-70391189	0	1
chr12:70500586-70500686	1	0
chr12:71818006-71818106	1	0
chr12:73557403-73557503	1	0
chr12:74627362-74627462	0	1
chr12:75018648-75018748	0	0
chr12:75114678-75114778	0	1
chr12:75278177-75278277	0	0
chr12:75833921-75834021	1	0
chr12:76586979-76587079	1	0
chr12:76752765-76752865	0	1
chr12:77606364-77606464	0	0
chr12:77727311-77727411	1	0
chr12:77992115-77992215	0	0
chr12:80527436-80527536	1	0
chr12:81114774-81114874	0	0
chr12:81319635-81319735	0	0
chr12:82057258-82057358	1	0
chr12:82153799-82153899	1	0
chr12:82543601-82543701	0	1
chr12:85966155-85966255	0	1
chr12:86863284-86863384	1	0
chr12:87118842-87118942	0	1
chr12:88350889-88350989	1	0
chr12:89352117-89352217	0	0
chr12:89548594-89548694	0	0
chr12:90274008-90274108	0	1
chr12:90351178-90351278	1	0
chr12:91025746-91025846	0	1
chr12:91403422-91403522	0	1
chr12:91404959-91405059	1	0
chr12:91527749-91527849	1	0
chr12:92799206-92799306	0	1
chr12:93364946-93365046	0	0
chr12:93741245-93741345	0	0
chr12:96050131-96050231	1	0
chr12:100433213-100433313	0	1
chr12:100537624-100537724	0	1
chr12:101119053-101119153	0	0
chr12:102997958-102998058	0	0
chr12:105681641-105681741	0	0
chr12:105966021-105966121	0	1
chr12:106622078-106622178	0	0
chr12:111020862-111020962	0	1
chr12:115033177-115033277	1	0
chr12:115048932-115049032	0	0
chr12:115084831-115084931	0	0
chr12:115883511-115883611	0	0
chr12:116388276-116388376	0	0
chr12:117012284-117012384	0	0
chr12:118797017-118797117	1	0
chr12:118804623-118804723	0	1
chr12:118963934-118964034	1	0
chr12:120701541-120701641	0	1
chr13:879460-879560	0	0
chr13:6293386-6293486	1	0
chr13:6805269-6805369	0	0
chr13:6963430-6963530	0	0
chr13:8636118-8636218	0	1
chr13:9012993-9013093	1	0
chr13:9141892-9141992	0	1
chr13:9486029-9486129	0	0
chr13:10152362-10152462	0	1
chr13:10554984-10555084	0	1
chr13:11671698-11671798	0	1
chr13:15104040-15104140	0	1
chr13:15186803-15186903	0	1
chr13:15439112-15439212	0	1
chr13:15554053-15554153	0	0
chr13:17848374-17848474	0	1
chr13:20271728-20271828	0	1
chr13:20799091-20799191	0	1
chr13:20979028-20979128	0	1
chr13:20987943-20988043	0	0
chr13:21189465-21189565	0	1
chr13:21209345-21209445	1	0
chr13:21410231-21410331	0	0
chr13:21470718-21470818	0	0
chr13:21800753-21800853	0	0
chr13:21873549-21873649	1	0
chr13:22008950-22009050	0	1
chr13:23721196-23721296	0	1
chr13:24947801-24947901	0	1
chr13:25600867-25600967	1	0
chr13:26169751-26169851	0	1
chr13:26224604-26224704	0	1
chr13:26351184-26351284	1	0
chr13:27434457-27434557	0	0
chr13:29381134-29381234	0	0
chr13:29698133-29698233	0	0
chr13:29940800-29940900	0	0
chr13:31260921-31261021	0	0
chr13:33789922-33790022	0	1
chr13:35340010-35340110	1	0
chr13:36189287-36189387	0	1
chr13:38995308-38995408	1	0
chr13:39159997-39160097	0	0
chr13:40197054-40197154	0	0
chr13:43999666-43999766	0	1
chr13:44394324-44394424	0	0
chr13:44486745-44486845	0	0
chr13:44691887-44691987	1	0
chr13:44970980-44971080	0	1
chr13:45688706-45688806	1	0
chr13:45722274-45722374	1	0
chr13:47974256-47974356	0	0
chr13:48267086-48267186	0	1
chr13:48355486-48355586	1	0
chr13:49361854-49361954	0	0
chr13:49689070-49689170	0	1
chr13:51594740-51594840	0	1
chr13:51715772-51715872	0	1
chr13:52377661-52377761	0	0
chr13:55326206-55326306	0	0
chr13:55801228-55801328	0	1
chr13:57052922-57053022	0	0
chr13:57230412-57230512	0	0
chr13:58194887-58194987	1	0
chr13:59348179-59348279	1	0
chr13:61477034-61477134	0	0
chr13:62342143-62342243	1	0
chr13:62613695-62613795	1	0
chr13:62699960-62700060	1	0
chr13:62705767-62705867	0	1
chr13:63168120-63168220	0	1
chr13:63555369-63555469	1	0
chr13:63946560-63946660	1	0
chr13:64289262-64289362	0	0
chr13:64416169-64416269	1	0
chr13:67006479-67006579	0	1
chr13:68905455-68905555	1	0
chr13:69467610-69467710	1	0
chr13:69768645-69768745	0	1
chr13:70600330-70600430	1	0
chr13:72134904-72135004	1	0
chr13:74650981-74651081	0	1
chr13:74716304-74716404	0	1
chr13:75040634-75040734	1	0
chr13:75124934-75125034	0	1
chr13:75172113-75172213	0	1
chr13:75422877-75422977	0	0
chr13:76537197-76537297	0	1
chr13:77338819-77338919	0	0
chr13:77475367-77475467	0	1
chr13:78464996-78465096	0	0
chr13:78820217-78820317	1	0
chr13:79008150-79008250	1	0
chr13:80422572-80422672	0	1
chr13:80485275-80485375	1	0
chr13:80507811-80507911	0	1
chr13:80576632-80576732	1	0
chr13:80903293-80903393	0	0
chr13:81028867-81028967	1	0
chr13:81061569-81061669	0	1
chr13:81279487-81279587	0	1
chr13:81633554-81633654	1	0
chr13:82246246-82246346	1	0
chr13:82454589-82454689	1	0
chr13:83735085-83735185	0	1
chr13:85472356-85472456	0	0
chr13:85503665-85503765	0	0
chr13:85828651-85828751	1	0
chr13:87860097-87860197	1	0
chr13:88789641-88789741	1	0
chr13:89217763-89217863	1	0
chr13:89298868-89298968	0	1
chr13:89342885-89342985	1	0
chr13:89579035-89579135	1	0
chr13:89928103-89928203	1	0
chr13:90681243-90681343	0	0
chr13:90688466-90688566	1	0
chr13:91077149-91077249	1	0
chr13:91451666-91451766	0	0
chr13:92879614-92879714	0	1
chr13:94500497-94500597	0	0
chr13:97293191-97293291	0	1
chr13:97543183-97543283	1	0
chr13:98296511-98296611	1	0
chr13:100978293-100978393	1	0
chr13:101743071-101743171	0	0
chr13:102375474-102375574	0	0
chr13:103059363-103059463	1	0
chr13:103481929-103482029	1	0
chr13:105081178-105081278	0	1
chr13:105811450-105811550	0	0
chr13:107121130-107121230	0	0
chr13:107924684-107924784	1	0
chr13:108200120-108200220	0	1
chr13:108467193-108467293	1	0
chr13:108499252-108499352	1	0
chr13:109444047-109444147	0	1
chr13:110837945-110838045	1	0
chr13:110862486-110862586	0	1
chr13:114807117-114807217	0	1
chr13:115249998-115250098	0	1
chr13:115603857-115603957	0	0
chr13:115967198-115967298	1	0
chr13:116123424-116123524	0	0
chr13:118225766-118225866	1	0
chr13:118761454-118761554	0	1
chr13:119829753-119829853	0	0
chr14:1237764-1237864	0	0
chr14:3716711-3716811	0	1
chr14:5039934-5040034	0	1
chr14:5227474-5227574	0	1
chr14:5891142-5891242	0	1
chr14:8147175-8147275	0	1
chr14:9141486-9141586	0	0
chr14:9568275-9568375	1	0
chr14:11438265-11438365	0	1
chr14:11623920-11624020	0	1
chr14:12633666-12633766	0	1
chr14:13273457-13273557	0	1
chr14:14861354-14861454	0	0
chr14:15615880-15615980	0	1
chr14:16597170-16597270	1	0
chr14:17566220-17566320	0	1
chr14:17585019-17585119	0	1
chr14:18002576-18002676	0	1
chr14:19420981-19421081	0	1
chr14:19582233-19582333	0	1
chr14:20015634-20015734	1	0
chr14:20819792-20819892	1	0
chr14:21168013-21168113	0	1
chr14:21540468-21540568	0	0
chr14:21929083-21929183	0	0
chr14:23277294-23277394	0	0
chr14:24217014-24217114	0	1
chr14:24540071-24540171	1	0
chr14:28589180-28589280	0	1
chr14:28953037-28953137	0	0
chr14:29755769-29755869	0	0
chr14:31901619-31901719	0	1
chr14:32556790-32556890	0	1
chr14:35185939-35186039	1	0
chr14:35258703-35258803	1	0
chr14:35300746-35300846	0	1
chr14:35442876-35442976	1	0
chr14:35488278-35488378	1	0
chr14:35987107-35987207	0	0
chr14:37547697-37547797	0	0
chr14:37811674-37811774	0	0
chr14:37995930-37996030	0	0
chr14:39220065-39220165	0	1
chr14:39346995-39347095	1	0
chr14:45354902-45355002	0	0
chr14:45833413-45833513	0	0
chr14:46117095-46117195	1	0
chr14:46174778-46174878	1	0
chr14:47078451-47078551	0	1
chr14:47450745-47450845	1	0
chr14:47860606-47860706	1	0
chr14:48769040-48769140	0	0
chr14:48787349-48787449	1	0
chr14:49102021-49102121	1	0
chr14:49390559-49390659	0	0
chr14:51245888-51245988	0	1
chr14:52824029-52824129	0	1
chr14:54977985-54978085	0	1
chr14:56196832-56196932	0	1
chr14:58228481-58228581	0	0
chr14:59195820-59195920	0	1
chr14:59858412-59858512	0	1
chr14:62234376-62234476	1	0
chr14:62259764-62259864	1	0
chr14:63231553-63231653	1	0
chr14:63332149-63332249	1	0
chr14:63866797-63866897	0	0
chr14:64969337-64969437	1	0
